total_articles,fiscal_articles,tariff_fiscal_articles,non_tariff_fiscal_articles,rate,tariff_rate,non_tariff_rate,fiscal_policy_index,tariff_fiscal_index,non_tariff_fiscal_index
20,5,2,3,0.25,0.1,0.15,76.51380946706442,48.002664496063105,126.67139226665034
19,5,3,2,0.2631578947368421,0.15789473684210525,0.10526315789473684,80.54085207059411,75.79368078325753,88.89220509940375
21,7,3,4,0.3333333333333333,0.14285714285714285,0.19047619047619047,102.01841262275255,68.57523499437586,160.8525616084449
22,8,5,3,0.36363636363636365,0.22727272727272727,0.13636363636363635,111.29281377027552,109.0969647637798,115.1558111515003
17,8,5,3,0.47058823529411764,0.29411764705882354,0.17647058823529413,144.0259942909448,141.18430734136209,149.02516737252984
22,8,4,4,0.36363636363636365,0.18181818181818182,0.18181818181818182,111.29281377027552,87.27757181102383,153.54108153533377
22,7,4,3,0.3181818181818182,0.18181818181818182,0.13636363636363635,97.38121204899107,87.27757181102383,115.1558111515003
20,8,1,7,0.4,0.05,0.35,122.42209514730307,24.001332248031552,295.56658195551745
24,9,6,3,0.375,0.25,0.125,114.77071420059663,120.00666124015777,105.55949355554195
17,4,4,0,0.23529411764705882,0.23529411764705882,0.0,72.0129971454724,112.94744587308966,0.0
15,3,1,2,0.2,0.06666666666666667,0.13333333333333333,61.211047573651534,32.001776330708736,112.59679312591142
17,1,1,0,0.058823529411764705,0.058823529411764705,0.0,18.0032492863681,28.236861468272416,0.0
